,Nr,Gebiet,gehört zu,Christlich Demokratische Union Deutschlands,Sozialdemokratische Partei Deutschlands,Alternative für Deutschland,Freie Demokratische Partei,DIE LINKE,BÜNDNIS 90/DIE GRÜNEN,Christlich-Soziale Union in Bayern e.V.,FREIE WÄHLER,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",PARTEI MENSCH UMWELT TIERSCHUTZ,Nationaldemokratische Partei Deutschlands,Piratenpartei Deutschland,Ökologisch-Demokratische Partei,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",DEMOKRATIE IN BEWEGUNG,Bayernpartei,"Allianz für Menschenrechte, Tier- und Naturschutz",Marxistisch-Leninistische Partei Deutschlands,Partei für Gesundheitsforschung,Menschliche Welt - für das Wohl und Glücklichsein aller,Deutsche Kommunistische Partei,Die Grauen – Für alle Generationen,Bürgerrechtsbewegung Solidarität,Partei der Humanisten,Gartenpartei,Die Urbane. Eine HipHop Partei,"Sozialistische Gleichheitspartei, Vierte Internationale",Basisdemokratische Partei Deutschland,Bündnis C - Christen für Deutschland,Bürgerbewegung für Fortschritt und Wandel,DER DRITTE WEG,diePinken/BÜNDNIS21,Europäische Partei LIEBE,Liberal-Konservative Reformer,Partei des Fortschritts,">> Partei für Kinder, Jugendliche und Familien <<  – Lobbyisten für Kinder –",Südschleswigscher Wählerverband,Team Todenhöfer – Die Gerechtigkeitspartei,UNABHÄNGIGE für bürgernahe Demokratie,Volt Deutschland,Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen,"bergpartei, die überpartei - ökoanarchistisch-realdadaistisches sammelbecken",DIE SONSTIGEN - X,Familien-Partei Deutschlands,Graue Panther,Klimaliste Baden-Württemberg,Thüringer Heimatpartei,Übrige
44,40.0,Nienburg II – Schaumburg,3,43817,50017,11695,8804,3070,18094,,1746,,2800,,,,,,,,,,,,,,,,,,1382,,,,,,,,,,,,,,,,,,,,222
45,41.0,Stadt Hannover I,3,27303,44538,7549,9550,4662,27851,,847,1586,1528,,746,138,,,,,114,,,,,,,,,,1265,,,,,,,,,,,,,,,,,,,,
46,42.0,Stadt Hannover II,3,26196,46929,6476,9538,7390,37779,,875,2428,1937,,979,,,,,,146,,,,,,287,,,,1568,,,,,,,,,,,,,,,,,,,,
47,43.0,Hannover-Land I,3,55185,58297,12942,12557,3981,22490,,,1662,3080,,988,,,,,,,,,,,,,,,,1727,,,,,,142,,,,,,,,,,,,,,66
48,44.0,Celle – Uelzen,3,51504,50635,14498,13412,4357,18773,,3399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
49,45.0,Gifhorn – Peine,3,40279,72113,15346,10738,3619,15762,,2084,,2820,,,,,,,,,,,,,,,,,,2016,,,,,,120,,,,,,,,,,,,,,127
50,46.0,Hameln-Pyrmont – Holzminden,3,33575,56893,11208,9102,3676,13259,,1979,,,,,,,,,,,,,,,,,,,,1856,,,,,,,,,,,,,,,,,,,,
51,47.0,Hannover-Land II,3,45721,73088,13377,11883,4095,22283,,1978,1701,2618,,1119,,,,,,,,,,,,,,,,1635,,,,,,,,,,,,,,,,,,,,50
52,48.0,Hildesheim,3,41230,61857,11387,11507,5481,22973,,1420,,,,1506,264,,,,,,,,,,,,,,,2153,,,,,,,,,,,,,,,,,,,,231
53,49.0,Salzgitter – Wolfenbüttel,3,39541,56157,14331,9544,5675,15353,,1651,,,,1220,,,,,,,,,,,,,,,,1599,,,,,,,,,,,,,,,,,,,,353
54,50.0,Braunschweig,3,31276,51220,8045,9816,5352,28214,,1194,,,,,352,630,,,,101,,,,,,,,,,1640,,,,,,80,,,,,,,,,,,,,,1633
55,51.0,Helmstedt – Wolfsburg,3,34367,54349,12339,9766,3575,11305,,2113,,,,,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748
56,52.0,Goslar – Northeim – Osterode,3,47196,52129,11240,8827,3835,14954,,2031,,,,,,,,,,,,,,,,,,,,1797,,,,,,,,,,,,,,,,,,,,58
57,53.0,Göttingen,3,42958,51385,,15261,8057,37060,,,,,,,,,,,,232,,,329,,,,,,,3428,,,,,,767,,,,,,,,,,,,,,
59,54.0,Bremen I,4,39440,55934,9099,13929,15306,39721,,1853,2835,2440,,,322,,,,,147,,,,,,526,,,,2237,,,,,,,,,,,,1182,,,,,,,,
60,55.0,Bremen II – Bremerhaven,4,28552,52498,12466,8469,10617,20769,,1799,2629,,,908,391,609,,,,119,,,,,,490,,,,1770,,,,,,,,,,,,,,,,,,,,
62,56.0,Prignitz – Ostprignitz-Ruppin – Havelland I,12,23433,39853,23799,7355,10845,5623,,4549,2180,,,636,,,,,,,,,,,,,,,,1771,,,,,,,,,,,,,,,,,,,,793
63,57.0,Uckermark – Barnim I,12,22991,38247,26163,10964,12316,7528,,3811,2071,,,786,412,,,,,,,,,,,,,,,2090,,,,,,,,,,,,,,,,,,,,1771
64,58.0,Oberhavel – Havelland II,12,39996,50697,30863,17322,15501,19026,,8282,4330,,,2267,952,,,,,,,,,,,,,,,3502,,,,,,,,,,,,,,,,,,,,
65,59.0,Märkisch-Oderland – Barnim II,12,40804,43117,31929,12270,21700,11742,,,4425,,,,737,,,,,,,,598,,,,,,,3750,,,,,,,,,,,,,,,,,,,,3137
66,60.0,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,12,29236,46642,23931,9266,12672,9474,,5521,2525,,,840,401,,,,,,,,,,,,,,,2305,,,,,,,,,,,1133,,,,,,,,,1433
67,61.0,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,12,26050,64271,17302,16872,14701,35452,,3439,3367,,,,804,,,,,,,,369,,,458,,,,3019,,,,,,,,,,,,1004,,,,,,,,1737
68,62.0,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,12,38080,50696,33719,15073,17417,13523,,8065,,6735,,1319,442,,,,,,,,394,,,,,,,2916,,,,,,,,,,,,,,,,1817,,,,1317
69,63.0,Frankfurt (Oder) – Oder-Spree,12,22876,39350,30182,9975,15690,8865,,5115,3343,,,,751,,,,,304,,,,,,,,,,2915,,,,,,,,,,,,,,,,,,,,1075
70,64.0,Cottbus – Spree-Neiße,12,21072,34882,32530,11400,11156,4662,,3375,2943,,,,,,,,,,,,424,,,,,,,2779,,,,,,,,,,,1140,,,,,,,,,
71,65.0,Elbe-Elster – Oberspreewald-Lausitz II,12,19130,29998,29560,10597,10630,4110,,4872,2245,,,,,,,,,,,,,,,,,,,1719,,,,,,,,,,,5066,,,,,,,,,356
73,66.0,Altmark,15,23433,29599,20875,9116,11218,4674,,5584,,,,,,,,,,,,,,,,,,,,2132,,,,,,,,,,,,,,,,,,,,949
74,67.0,Börde – Jerichower Land,15,36652,38520,29843,11817,12785,6184,,3704,,1969,,,,,,,3014,,,,,,,,,,,2258,,,,,,,,,,,,,,,,,,,,
75,68.0,Harz,15,37884,34812,24947,10064,14413,6320,,4972,,,,,,,,,,,,,,,,,,,,3160,,,,,,,,,,,,,,,,,,,,272
76,69.0,Magdeburg,15,34177,39233,23398,12139,15137,14381,,2430,2081,,,,302,,,,4357,221,,,,,,,2095,,,2247,,,,,,,,,,,,,,,,,,,,3094
77,70.0,Dessau – Wittenberg,15,39042,22178,22002,7591,9003,7632,,3530,,,,,,,,,,,,,,,,,,,,2074,,,,,,,,,,,,,,,,,,,,767
78,71.0,Anhalt,15,32295,28386,33225,10637,20246,4587,,4845,,,,,,,,,,,,,,,,,,,,1969,,,,,,,,,,,,,,,,,,,,1006
79,72.0,Halle,15,30499,42335,22517,11867,19247,12521,,3129,2335,,,,,,,,,399,,,,,,,,,,2222,,,,,,,,,,,,,,,,,,,,
80,73.0,Burgenland – Saalekreis,15,32649,27165,32328,11764,12419,4207,,,,,,,,,,,,,,,,,,,,,,3761,,,,,,,,,,,,,,,,,,,,
81,74.0,Mansfeld,15,32732,30969,32930,11089,13108,3820,,3958,,,,,,,,,,,,,,,,,,,,2731,,,,,,,,,,,,,,,,,,,,
83,75.0,Berlin-Mitte,11,20002,34072,7597,10038,21291,45870,,,2958,2810,,836,200,,,,,196,,,,,,416,,,,2146,,,,,,70,,,,,,1492,,,,,,,,216
84,76.0,Berlin-Pankow,11,23045,39131,16242,12515,29559,46401,,2146,4317,4915,,960,426,,,,,,1037,,,,,,,,,,,,,,,115,,,,,,1297,,,,,,,,
85,77.0,Berlin-Reinickendorf,11,34233,32445,12249,10927,6107,17621,,2601,1782,3843,,,281,,,,,,,,,2368,,,,,,1169,,,,,,,,,,,,,,,,,,,,
86,78.0,Berlin-Spandau – Charlottenburg Nord,11,28904,40451,12447,10492,6771,14680,,,2455,4381,,,278,,,,,97,,,,,,,,,,1693,,,,205,,121,,,,,,,,,,,,,,182
87,79.0,Berlin-Steglitz-Zehlendorf,11,48959,43465,9221,15967,7455,38873,,1430,2039,3874,,705,370,,,,,,439,,,,,,,,,1912,,,,,,111,,,,,,,,,,,,,,
88,80.0,Berlin-Charlottenburg-Wilmersdorf,11,34308,42934,6539,14982,8802,37531,,1434,1858,2423,,549,221,,,,,,,,,,,259,,,,1752,,,,,,74,,,,,,,,,,,,,,140
89,81.0,Berlin-Tempelhof-Schöneberg,11,38400,47451,10005,12822,10673,44021,,1640,2412,4132,,857,427,,,,,,,305,,,,,,,,1989,,,,,,115,,,,,,,,,,,,,,
90,82.0,Berlin-Neukölln,11,25577,35530,10153,8635,17898,27104,,,2699,3981,,,,,,,,170,,,,,,,,,,1347,,,,,,136,,,,2604,,,,,256,,,,,455
91,83.0,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,11,13030,29619,6598,9203,30113,64542,,,8854,3128,,915,269,,,,,175,,,,,,480,,392,,2387,,,,,,,,,,,,,,222,,,,,,440
92,84.0,Berlin-Treptow-Köpenick,11,21142,24133,17817,9235,55372,16137,,2421,2535,4565,,,458,,,,,149,,,,,,,,,,1882,,,,,,393,,,,,,,,,,,,,,
93,85.0,Berlin-Marzahn-Hellersdorf,11,39543,19892,20910,6180,29388,8316,,,2780,5539,,,,,,,,141,,,,,,,,,,1503,,,,,,158,,,,,,,,,,,,,,
94,86.0,Berlin-Lichtenberg,11,17695,28040,17356,8682,36813,19485,,2491,3865,5876,,,285,,,,,193,,,,,,,,,,1821,,,,,,195,,,,,,,,,,,,,,
96,87.0,Aachen I,5,35562,33087,5314,10906,6161,41942,,849,3058,,,,,,,,,,,,,,,,,,,1502,,,,,,,,,,,,,,,,,,,,532
97,88.0,Aachen II,5,54808,58189,12632,12055,4496,19976,,2034,2893,,,,,,,,,,,,,,,,,,,1704,,,,,,,,,,,,,,,,,,,,
98,89.0,Heinsberg,5,57095,37249,10965,10691,3608,15368,,2288,4901,,,,,,,,,,,,,,,,,,,1554,,,,,,,,,,,,,,,,,,,,
99,90.0,Düren,5,55719,46734,12947,11237,3449,14174,,2196,2298,,,1146,,,,,,,,,,,,,,,,1565,,,,,,,,,,,473,,,,,,,,,
100,91.0,Rhein-Erft-Kreis I,5,63635,58858,13537,17542,5889,25409,,2132,,,,2860,,,,,,,,,,,,,,,,2218,,,,,873,,,,,,,,,,,,,,,
101,92.0,Euskirchen – Rhein-Erft-Kreis II,5,65981,50892,14999,19805,4993,25005,,2724,2690,,,1189,,,,,,,,,,,,,,,,2505,,,,,,,,,,,,,,,,,,,,
102,93.0,Köln I,5,31636,38985,8789,11490,7213,33405,,1108,2768,,,,,,,,,181,,,,,,,,,,1615,,,,,,,,,,,,2353,,,,,,,,261
103,94.0,Köln II,5,50918,40103,5587,16950,8771,70658,,1369,3312,,,,,,,,,117,,,82,,,,,,,2005,,,,,,,,,,,,4111,,,,,,,,
104,95.0,Köln III,5,28674,46149,8015,10708,8435,43600,,1100,3143,,,,,,,,,113,,,,,,,,,,1831,,,,,,,,,,,,2108,,,,,,,,259
105,96.0,Bonn,5,44872,46251,7448,23198,6675,46467,,1183,2700,,,,,,,,,138,,,,,,,,,,2101,,,,,,158,,,,,,2919,,,,,,,,
106,97.0,Rhein-Sieg-Kreis I,5,60776,53213,13045,16604,6242,26270,,1929,3828,,,,,,,,,,,,,,,,,,,2951,,,,,,,,,,,,1006,602,,,,,,,
107,98.0,Rhein-Sieg-Kreis II,5,70144,41004,10385,13914,4607,26956,,1697,2537,,,,,,,,,,,,,,,,,,,2285,,,,,,167,,,,,,1140,484,,,,,,,
108,99.0,Oberbergischer Kreis,5,53757,42461,15071,15636,4587,19015,,2246,2887,,,,,,,,,,,,,,,,,,,2847,,,,,,,,,,,,,,,,,,,,
109,100.0,Rheinisch-Bergischer Kreis,5,52714,39827,9518,29576,4845,31626,,3632,,,,,,,,,,,,,,,,,,,,2455,,,,,,,,,,,,1391,,,,,,,,
110,101.0,Leverkusen – Köln IV,5,31197,69662,10797,11050,5657,17290,,1479,2782,,,,,,,,,212,,,,,,,,,,2222,,,,,,,,,,,,,,,,,,,,412
111,102.0,Wuppertal I,5,31960,54065,11995,13756,6742,18932,,1544,2665,,,,,,,,,203,,,,,,,,,,2068,,,,,,,,,,,,1028,,,,,,,,
112,103.0,Solingen – Remscheid – Wuppertal II,5,44778,52852,12335,17406,5099,20967,,1662,3398,,,,,,,,,169,,,,,,,,,,2233,,,,,,,,,,,,,,,,,,,,1070
113,104.0,Mettmann I,5,47326,39326,10704,14873,4252,36095,,1818,,,,,,,,,,,,,,,,,,,,1845,,,,,,,,,,,,,,,,,,,,1657
114,105.0,Mettmann II,5,38429,37635,8894,11158,3395,17730,,1166,2258,,,,,,,,,99,,,,,,,,,,1366,221,,,,,65,,,,,,,,,,,,,,181
115,106.0,Düsseldorf I,5,54158,38955,7002,24242,5094,36926,,1089,2531,,,,,,,,,104,,,,,,,,,,1802,,,,,,76,,,,,,1546,,,,,,,,423
116,107.0,Düsseldorf II,5,34801,41169,8214,14143,5418,30201,,1307,2967,,,,,,,,,176,,,,,,,,,,1549,,,,,,,,,,,,1189,,,,,,,,
117,108.0,Neuss I,5,57445,51391,10801,12932,4153,18051,,,3617,,,,,,,,,,,,,,,,,,,2052,,,,,,,,,,,,,,,,,,,,120
118,109.0,Mönchengladbach,5,45550,37548,9915,10957,,17302,,1422,3105,,,,,,,,,,,,319,,,,,,,1821,,,,,,,,,,,,,,,,,,,,
119,110.0,Krefeld I – Neuss II,5,51500,39253,9150,18781,4319,24383,,1980,2918,,,,,,,,,163,,,,,,,,,,1759,,,,,,,,,,,,,,,,,,,,
120,111.0,Viersen,5,62123,47806,10312,15140,5558,24394,,2253,3819,,,,,,,,,,,,,,,,,,,1940,,,,,,,,,,,,,,,,,,,,
121,112.0,Kleve,5,63701,48142,9788,14821,4235,23477,,3409,,,,,,,,,,,,,,,,,,,,1892,,,,,,,,,,,,,,,,,,,,
122,113.0,Wesel I,5,47448,54488,10842,14452,4598,19928,,1376,3907,,,,,,,,,127,,,,,,,,,,1999,,,,,,,,,,,,,,,,,,,,
123,114.0,Krefeld II – Wesel II,5,37033,45852,9077,10954,4100,17398,,1186,2863,,,,,,,,,125,,,,,,,,,,1698,,,,,,,,,,,,,,,,,,,,
124,115.0,Duisburg I,5,24299,47314,11101,8203,5500,16777,,1470,,,,,,,,,,489,,,,,,,,,,1395,,,,,,,,,,,,,,,,,,,,732
125,116.0,Duisburg II,5,19404,38162,13361,6901,4889,10518,,1263,,,,,,,,,,313,,,,,,,,,,1007,,,,,,,,,,,547,,,,,,,,,444
126,117.0,Oberhausen – Wesel III,5,32277,55790,13601,10132,4908,17171,,1378,6464,,,,,454,,,,145,,,,,,,,,,1434,,,,,,,,,,,,,,,,,,,,
127,118.0,Mülheim – Essen I,5,33090,50168,11704,11884,3663,19547,,1105,2870,,,,,,,,,158,,,139,,,,,,,1584,,,,,,,,,,,,,,,,,,,,2243
128,119.0,Essen II,5,23735,39410,12015,6976,4325,12647,,1202,2414,,,,,,,,,197,,,169,,,,,,,1108,,,,,,,,,,,,,,,,,,,,
129,120.0,Essen III,5,46635,45612,8225,10871,5030,28745,,1685,2931,,,,,,,,,109,,,172,,,,,,,1695,,,,,,137,,,,,,,,,,,,,,
130,121.0,Recklinghausen I,5,30845,49437,11087,8481,3605,12833,,,2722,,,,,,,,,128,,,99,,,,,,,1282,,,,,,,,,,,,,,,,,,,,
131,122.0,Recklinghausen II,5,38325,51050,13108,11283,3881,14836,,,3509,,,,,,,,,215,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,
